hotel,is_canceled,lead_time,stays_in_week_nights,adults,children,babies,meal,deposit_type,agent,company
Resort Hotel,0,342,0,2,0,0,BB,No Deposit,NULL,NULL
Resort Hotel,0,737,0,2,0,0,BB,No Deposit,NULL,NULL
Resort Hotel,0,7,1,1,0,0,BB,No Deposit,NULL,NULL
Resort Hotel,0,13,1,1,0,0,BB,No Deposit,304,NULL
Resort Hotel,0,14,2,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,14,2,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,0,2,2,0,0,BB,No Deposit,NULL,NULL
Resort Hotel,0,9,2,2,0,0,FB,No Deposit,303,NULL
Resort Hotel,1,85,3,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,1,75,3,2,0,0,HB,No Deposit,15,NULL
Resort Hotel,1,23,4,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,35,4,2,0,0,HB,No Deposit,240,NULL
Resort Hotel,0,68,4,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,18,4,2,1,0,HB,No Deposit,241,NULL
Resort Hotel,0,37,4,2,0,0,BB,No Deposit,241,NULL
Resort Hotel,0,68,4,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,37,4,2,0,0,BB,No Deposit,8,NULL
Resort Hotel,0,12,1,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,0,1,2,0,0,BB,No Deposit,NULL,110
Resort Hotel,0,7,4,2,0,0,BB,No Deposit,250,NULL
Resort Hotel,0,37,4,1,0,0,BB,No Deposit,241,NULL
Resort Hotel,0,72,4,2,0,0,BB,No Deposit,250,NULL
Resort Hotel,0,72,4,2,0,0,BB,No Deposit,250,NULL
Resort Hotel,0,72,4,2,0,0,BB,No Deposit,250,NULL
Resort Hotel,0,127,5,2,0,0,HB,No Deposit,115,NULL
Resort Hotel,0,78,5,2,0,0,BB,No Deposit,5,NULL
Resort Hotel,0,48,5,2,0,0,BB,No Deposit,8,NULL
Resort Hotel,1,60,5,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,77,5,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,99,5,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,118,10,1,0,0,BB,No Deposit,NULL,NULL
Resort Hotel,0,95,11,2,0,0,BB,No Deposit,241,NULL
Resort Hotel,1,96,8,2,0,0,BB,No Deposit,NULL,NULL
Resort Hotel,0,69,4,2,0,0,BB,No Deposit,175,NULL
Resort Hotel,1,45,3,3,0,0,BB,No Deposit,241,NULL
Resort Hotel,1,40,3,3,0,0,BB,No Deposit,241,NULL
Resort Hotel,0,15,3,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,36,3,3,0,0,BB,No Deposit,241,NULL
Resort Hotel,1,43,3,3,0,0,BB,No Deposit,241,NULL
Resort Hotel,0,70,3,2,0,0,HB,No Deposit,250,NULL
Resort Hotel,1,45,3,2,0,0,BB,No Deposit,241,NULL
Resort Hotel,0,45,3,2,0,0,BB,No Deposit,8,NULL
Resort Hotel,0,16,3,2,0,0,BB,No Deposit,NULL,NULL
Resort Hotel,0,70,3,2,0,0,HB,No Deposit,250,NULL
Resort Hotel,0,107,5,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,1,47,5,2,2,0,BB,No Deposit,240,NULL
Resort Hotel,0,96,5,2,0,0,BB,No Deposit,134,NULL
Resort Hotel,0,113,5,2,0,0,BB,No Deposit,156,NULL
Resort Hotel,0,90,5,2,0,0,HB,No Deposit,243,NULL
Resort Hotel,0,50,5,2,0,0,HB,No Deposit,241,NULL
Resort Hotel,0,113,5,2,0,0,BB,No Deposit,156,NULL
Resort Hotel,0,93,8,2,0,0,BB,No Deposit,156,NULL
Resort Hotel,0,76,10,2,0,0,BB,No Deposit,243,NULL
Resort Hotel,0,3,1,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,1,1,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,1,1,2,2,0,BB,No Deposit,NULL,NULL
Resort Hotel,0,0,1,2,0,0,BB,No Deposit,NULL,NULL
Resort Hotel,0,0,1,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,0,1,2,0,0,BB,No Deposit,NULL,NULL
Resort Hotel,0,14,2,2,0,0,BB,No Deposit,242,NULL
Resort Hotel,0,10,2,2,0,0,BB,No Deposit,241,NULL
Resort Hotel,0,5,2,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,17,3,2,0,0,BB,No Deposit,250,NULL
Resort Hotel,0,93,3,2,0,0,BB,No Deposit,115,NULL
Resort Hotel,1,3,3,2,0,0,HB,No Deposit,240,NULL
Resort Hotel,0,10,2,2,2,0,BB,No Deposit,240,NULL
Resort Hotel,0,3,2,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,51,2,2,0,0,BB,No Deposit,242,NULL
Resort Hotel,1,71,2,3,0,0,BB,No Deposit,242,NULL
Resort Hotel,1,63,2,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,1,62,2,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,1,101,2,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,2,2,2,0,0,HB,No Deposit,3,NULL
Resort Hotel,0,15,2,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,1,51,2,3,0,0,BB,No Deposit,242,NULL
Resort Hotel,0,3,2,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,1,48,2,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,2,2,1,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,72,2,2,0,0,BB,No Deposit,105,NULL
Resort Hotel,0,81,6,3,0,0,BB,No Deposit,5,NULL
Resort Hotel,0,99,7,2,0,0,BB,No Deposit,40,NULL
Resort Hotel,1,368,7,2,0,0,BB,No Deposit,40,NULL
Resort Hotel,0,364,7,2,0,0,BB,No Deposit,40,NULL
Resort Hotel,1,81,7,2,0,0,HB,No Deposit,250,NULL
Resort Hotel,0,99,7,2,0,0,HB,No Deposit,115,NULL
Resort Hotel,0,324,10,2,0,0,HB,No Deposit,40,NULL
Resort Hotel,0,69,10,2,0,0,BB,No Deposit,241,NULL
Resort Hotel,1,79,15,2,1,5,BB,No Deposit,242,NULL
Resort Hotel,0,12,1,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,9,1,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,1,1,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,21,1,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,0,9,1,2,0,0,BB,No Deposit,241,NULL
Resort Hotel,0,109,1,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,1,109,2,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,1,72,2,2,0,0,BB,No Deposit,240,NULL
Resort Hotel,1,63,5,2,0,0,BB,No Deposit,242,NULL
Resort Hotel,0,63,5,3,0,0,HB,No Deposit,105,NULL
Resort Hotel,0,101,5,-20,1,0,BB,No Deposit,240,NULL
